date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2021-12-31,4937.46,4950.36,4940.37,4923.14,1213137.38,18.86,0.38,4924.128,4919.908,4963.622,1222153.25,1339577.68,1539249.86
2021-12-30,4882.16,4940.18,4921.51,4878.65,1216171.75,38.03,0.78,4920.322,4921.347,4961.654,1264872.42,1367269.34,1550622.8
2021-12-29,4958.65,4958.65,4883.48,4883.48,1135870.0,-72.48,-1.46,4925.768,4932.669,4958.387,1300748.87,1389706.03,1563858.48
2021-12-28,4923.69,4959.14,4955.96,4913.6,1304577.62,36.64,0.74,4931.962,4944.911,4956.405,1340088.35,1426648.78,1568608.37
2021-12-27,4918.15,4939.69,4919.32,4894.16,1241009.5,-2.02,-0.04,4923.468,4954.285,4950.209,1365852.63,1455298.8,1568194.79
2021-12-24,4953.06,4964.91,4921.34,4905.98,1426733.25,-27.4,-0.55,4915.688,4970.733,4946.814,1457002.1,1542999.45,1572957.74
2021-12-23,4924.29,4948.74,4948.74,4906.75,1395554.0,34.29,0.7,4922.372,4984.111,4943.753,1469666.25,1594021.28,1561805.57
2021-12-22,4924.58,4936.67,4914.45,4903.17,1332567.38,0.96,0.02,4939.57,4997.106,4941.138,1478663.18,1675034.65,1550019.88
2021-12-21,4876.51,4917.8,4913.49,4872.95,1433399.0,33.07,0.68,4957.86,5005.254,4941.249,1513209.2,1699268.48,1551966.85
2021-12-20,4934.97,4971.67,4880.42,4872.68,1696756.88,-74.34,-1.5,4985.102,5006.115,4941.242,1544744.98,1734982.04,1557449.11
2021-12-17,5021.34,5022.11,4954.76,4954.76,1490054.0,-79.97,-1.59,5025.778,5007.335,4942.841,1628996.8,1738922.04,1541657.68
2021-12-16,5006.61,5034.73,5034.73,4987.22,1440538.62,28.83,0.58,5045.85,5001.961,4939.606,1718376.3,1733976.26,1530754.14
2021-12-15,5036.28,5060.37,5005.9,5003.78,1505297.5,-43.8,-0.87,5054.642,4984.104,4929.75,1871406.13,1738010.93,1515967.49
2021-12-14,5066.35,5075.21,5049.7,5038.86,1591077.88,-34.1,-0.67,5052.648,4967.899,4923.743,1885327.75,1710567.96,1494932.22
2021-12-13,5090.02,5143.84,5083.8,5079.73,2118016.0,28.68,0.57,5027.128,4946.132,4915.424,1925219.1,1681090.78,1479005.53
2021-12-10,5046.27,5060.06,5055.12,5035.81,1936951.5,-23.57,-0.46,4988.892,4922.894,4905.353,1848847.27,1602916.04,1434016.31
2021-12-09,5000.69,5114.5,5078.69,4999.41,2205687.75,82.76,1.66,4958.072,4903.395,4897.015,1749576.22,1529589.86,1403500.22
2021-12-08,4934.41,4995.93,4995.93,4915.79,1574905.62,73.83,1.5,4913.566,4885.17,4888.013,1604615.72,1425005.11,1373458.26
2021-12-07,4930.83,4934.1,4922.1,4895.22,1790534.62,29.48,0.6,4883.15,4877.243,4879.276,1535808.18,1404665.23,1362272.07
2021-12-06,4909.43,4943.9,4892.62,4888.69,1736156.88,-8.4,-0.17,4865.136,4876.368,4875.508,1436962.45,1379916.18,1331933.1
2021-12-03,4856.98,4901.02,4901.02,4853.35,1440596.25,44.86,0.92,4856.896,4878.346,4873.286,1356984.8,1344393.33,1313824.39
2021-12-02,4839.91,4866.85,4856.16,4830.32,1480885.25,12.31,0.25,4848.718,4877.25,4870.353,1309603.5,1327532.01,1315689.26
2021-12-01,4831.89,4844.52,4843.85,4823.93,1230867.88,11.82,0.24,4856.774,4875.396,4870.982,1245394.5,1293924.05,1307941.48
2021-11-30,4857.18,4871.25,4832.03,4810.22,1296306.0,-19.39,-0.4,4871.336,4879.586,4869.845,1273522.27,1279296.49,1317780.0
